Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,DJ Willey,LJ Evans,0,0
2,0,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,DJ Willey,LJ Evans,0,0
3,4,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,DJ Willey,LJ Evans,4,0
4,6,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,DJ Willey,LJ Evans,10,0
5,1,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,DJ Willey,LJ Evans,11,0
6,1,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,LJ Evans,BA Raine,PD Salt,12,0
7,1,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,BA Raine,LJ Evans,13,0
8,1,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,LJ Evans,BA Raine,PD Salt,14,0
9,1,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,LJ Evans,BA Raine,PD Salt,15,0
10,0,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,BA Raine,LJ Evans,15,0
11,6,0,Manchester Originals,1,2022,male,Manchester Originals,23 runs,"Headingley, Leeds",Northern Superchargers,field,Northern Superchargers,PD Salt,BA Raine,LJ Evans,21,0
