Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,0,0
2,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,0,0
3,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,1,0
4,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,SFM Devine,M Gaur,E Jones,2,0
5,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,2,0
6,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,3,0
7,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,SFM Devine,M Gaur,E Jones,4,0
8,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,4,0
9,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,4,0
10,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,5,0
11,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,KE Bryce,SFM Devine,5,0
12,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,KE Bryce,SFM Devine,6,0
13,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,SFM Devine,KE Bryce,E Jones,6,0
14,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,SFM Devine,KE Bryce,E Jones,7,0
15,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,KE Bryce,SFM Devine,8,0
16,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,SFM Devine,M Gaur,E Jones,9,0
17,3,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,12,0
18,0,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,SFM Devine,M Gaur,E Jones,12,0
19,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,SFM Devine,M Gaur,E Jones,13,0
20,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,M Gaur,SFM Devine,14,0
21,2,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,KE Bryce,SFM Devine,16,0
22,1,0,Birmingham Phoenix,1,2023,female,Manchester Originals,5 wickets,"Old Trafford, Manchester",Manchester Originals,field,Manchester Originals,E Jones,KE Bryce,SFM Devine,17,0
