Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,4,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,M Kapp,DN Wyatt,4,0
2,4,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,M Kapp,DN Wyatt,8,0
3,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,M Kapp,DN Wyatt,9,0
4,0,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DN Wyatt,M Kapp,S Mandhana,9,0
5,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DN Wyatt,M Kapp,S Mandhana,10,0
6,0,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,S Ismail,DN Wyatt,10,0
7,4,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,S Ismail,DN Wyatt,14,0
8,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,S Ismail,DN Wyatt,15,0
9,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DN Wyatt,S Ismail,S Mandhana,16,0
10,4,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,S Ismail,DN Wyatt,20,0
11,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DN Wyatt,M Kapp,S Mandhana,21,0
12,0,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,M Kapp,DN Wyatt,21,0
13,0,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,M Kapp,DN Wyatt,21,0
14,4,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,M Kapp,DN Wyatt,25,0
15,4,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,M Kapp,DN Wyatt,29,0
16,0,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,MK Villiers,DN Wyatt,29,0
17,4,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,MK Villiers,DN Wyatt,33,0
18,0,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,MK Villiers,DN Wyatt,33,0
19,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,S Mandhana,MK Villiers,DN Wyatt,34,0
20,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DN Wyatt,MK Villiers,S Mandhana,35,0
21,0,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DN Wyatt,S Ismail,S Mandhana,35,0
22,1,0,Southern Brave,1,2022,female,Southern Brave,12 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DN Wyatt,S Ismail,S Mandhana,36,0
