Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MP Stoinis,AM Rossington,0,0
2,4,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MP Stoinis,AM Rossington,4,0
3,2,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MP Stoinis,AM Rossington,6,0
4,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MP Stoinis,AM Rossington,6,0
5,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MP Stoinis,AM Rossington,6,0
6,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MG Hogan,AM Rossington,6,0
7,6,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MG Hogan,AM Rossington,12,0
8,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MG Hogan,AM Rossington,12,0
9,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MG Hogan,AM Rossington,12,0
10,4,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MG Hogan,AM Rossington,16,0
11,4,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,AM Rossington,MP Stoinis,Z Crawley,20,0
12,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,AM Rossington,MP Stoinis,Z Crawley,20,0
13,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,AM Rossington,MP Stoinis,Z Crawley,20,0
14,4,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,AM Rossington,MP Stoinis,Z Crawley,24,0
15,0,1,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,AM Rossington,MP Stoinis,Z Crawley,24,1
16,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MP Stoinis,Z Crawley,24,1
17,1,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MP Stoinis,Z Crawley,25,1
18,1,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MP Stoinis,GJ Maxwell,26,1
19,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MP Stoinis,Z Crawley,26,1
20,1,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MP Stoinis,Z Crawley,27,1
21,2,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MP Stoinis,Z Crawley,29,1
22,0,1,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,Z Crawley,MG Hogan,GJ Maxwell,29,2
23,1,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,DJ Bell-Drummond,MG Hogan,GJ Maxwell,30,2
24,4,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MG Hogan,DJ Bell-Drummond,34,2
25,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MG Hogan,DJ Bell-Drummond,34,2
26,4,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,MG Hogan,DJ Bell-Drummond,38,2
27,1,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,GJ Maxwell,JK Fuller,DJ Bell-Drummond,39,2
28,0,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,DJ Bell-Drummond,JK Fuller,GJ Maxwell,39,2
29,1,0,London Spirit,1,2022,male,London Spirit,9 runs,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,DJ Bell-Drummond,JK Fuller,GJ Maxwell,40,2
