Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,DJ Malan,Shaheen Shah Afridi,AD Hales,1,0
2,0,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,AD Hales,Shaheen Shah Afridi,DJ Malan,1,0
3,0,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,AD Hales,Shaheen Shah Afridi,DJ Malan,1,0
4,0,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,AD Hales,Shaheen Shah Afridi,DJ Malan,1,0
5,4,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,AD Hales,Shaheen Shah Afridi,DJ Malan,5,0
6,0,1,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,AD Hales,DJ Willey,DJ Malan,5,1
7,2,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,JE Root,DJ Willey,DJ Malan,7,1
8,0,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,JE Root,DJ Willey,DJ Malan,7,1
9,0,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,JE Root,DJ Willey,DJ Malan,7,1
10,3,0,Trent Rockets,1,2023,male,Trent Rockets,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,JE Root,DJ Willey,DJ Malan,10,1
