Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,4,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,L Lee,P Cleary,EL Lamb,4,0
2,4,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,L Lee,P Cleary,EL Lamb,8,0
3,0,1,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,L Lee,P Cleary,EL Lamb,8,1
4,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,P Cleary,EL Lamb,8,1
5,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,P Cleary,EL Lamb,9,1
6,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,P Cleary,EL Lamb,10,1
7,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,P Cleary,EL Lamb,10,1
8,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,BF Smith,EL Lamb,10,1
9,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,BF Smith,EL Lamb,11,1
10,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,BF Smith,GEB Boyce,11,1
11,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,BF Smith,GEB Boyce,12,1
12,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,BF Smith,EL Lamb,12,1
13,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,HK Matthews,GEB Boyce,12,1
14,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,HK Matthews,GEB Boyce,13,1
15,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,HK Matthews,EL Lamb,14,1
16,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,HK Matthews,GEB Boyce,14,1
17,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,HK Matthews,GEB Boyce,15,1
18,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,BF Smith,EL Lamb,16,1
19,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,BF Smith,GEB Boyce,17,1
20,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,BF Smith,EL Lamb,18,1
21,0,1,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,EL Lamb,BF Smith,GEB Boyce,18,2
22,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,H Kaur,BF Smith,GEB Boyce,19,2
23,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,H Kaur,P Cleary,GEB Boyce,20,2
24,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,P Cleary,H Kaur,20,2
25,1,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,GEB Boyce,P Cleary,H Kaur,21,2
26,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,H Kaur,P Cleary,GEB Boyce,21,2
27,0,0,Manchester Originals,1,2021,female,Welsh Fire,9 wickets,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,H Kaur,P Cleary,GEB Boyce,21,2
