Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,2,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,SR Patel,WG Jacks,2,0
2,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,SR Patel,WG Jacks,3,0
3,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,SR Patel,JJ Roy,4,0
4,2,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,SR Patel,WG Jacks,6,0
5,5,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,SR Patel,WG Jacks,11,0
6,0,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,SR Patel,WG Jacks,11,0
7,6,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,Rashid Khan,WG Jacks,17,0
8,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,Rashid Khan,WG Jacks,18,0
9,6,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,Rashid Khan,JJ Roy,24,0
10,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,Rashid Khan,JJ Roy,25,0
11,0,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,Rashid Khan,WG Jacks,25,0
12,0,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,SJ Cook,JJ Roy,25,0
13,4,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,SJ Cook,JJ Roy,29,0
14,2,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,SJ Cook,JJ Roy,31,0
15,0,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,SJ Cook,JJ Roy,31,0
16,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,SJ Cook,JJ Roy,32,0
17,6,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,T van der Gugten,WG Jacks,38,0
18,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,JJ Roy,T van der Gugten,WG Jacks,39,0
19,0,1,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,WG Jacks,T van der Gugten,JJ Roy,39,1
20,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,SP Narine,T van der Gugten,JJ Roy,40,1
21,1,0,Oval Invincibles,1,2021,male,Oval Invincibles,9 runs,"Kennington Oval, London",Trent Rockets,field,Trent Rockets,SP Narine,T van der Gugten,JJ Roy,41,1
