Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,2,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,M Kelly,M Gaur,JI Rodrigues,2,0
2,0,1,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,M Kelly,M Gaur,JI Rodrigues,2,1
3,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,P Litchfield,M Gaur,JI Rodrigues,2,1
4,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,P Litchfield,M Gaur,JI Rodrigues,3,1
5,4,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,M Gaur,P Litchfield,7,1
6,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,M Gaur,P Litchfield,8,1
7,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,M Gaur,P Litchfield,9,1
8,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,P Litchfield,M Gaur,JI Rodrigues,9,1
9,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,P Litchfield,M Gaur,JI Rodrigues,9,1
10,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,P Litchfield,M Gaur,JI Rodrigues,9,1
11,0,1,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,P Litchfield,M Gaur,JI Rodrigues,9,2
12,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,KE Bryce,HJ Armitage,10,2
13,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,KE Bryce,JI Rodrigues,11,2
14,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,KE Bryce,JI Rodrigues,12,2
15,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,KE Bryce,HJ Armitage,13,2
16,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,KE Bryce,JI Rodrigues,13,2
17,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,KE Bryce,JI Rodrigues,14,2
18,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,PC Graham,HJ Armitage,14,2
19,4,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,PC Graham,HJ Armitage,18,2
20,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,PC Graham,HJ Armitage,18,2
21,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,PC Graham,HJ Armitage,18,2
22,4,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,PC Graham,HJ Armitage,22,2
23,4,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,M Gaur,JI Rodrigues,26,2
24,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,M Gaur,JI Rodrigues,27,2
25,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,M Gaur,HJ Armitage,28,2
26,2,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,M Gaur,JI Rodrigues,30,2
27,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,M Gaur,HJ Armitage,31,2
28,4,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,M Gaur,JI Rodrigues,35,2
29,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,S Ecclestone,JI Rodrigues,35,2
30,4,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,S Ecclestone,JI Rodrigues,39,2
31,2,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,S Ecclestone,JI Rodrigues,41,2
32,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,S Ecclestone,JI Rodrigues,41,2
33,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,S Ecclestone,JI Rodrigues,42,2
34,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,A Wellington,JI Rodrigues,42,2
35,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,A Wellington,JI Rodrigues,43,2
36,2,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,A Wellington,HJ Armitage,45,2
37,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,A Wellington,HJ Armitage,45,2
38,0,1,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,JI Rodrigues,A Wellington,HJ Armitage,45,3
39,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,A Wellington,HJ Armitage,45,3
40,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,A Wellington,HJ Armitage,46,3
41,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,A Wellington,AN Davidson-Richards,46,3
42,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,A Wellington,AN Davidson-Richards,46,3
43,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,A Wellington,AN Davidson-Richards,46,3
44,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,FMK Morris,HJ Armitage,47,3
45,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,FMK Morris,AN Davidson-Richards,48,3
46,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,FMK Morris,HJ Armitage,49,3
47,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,FMK Morris,AN Davidson-Richards,49,3
48,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,FMK Morris,AN Davidson-Richards,50,3
49,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,EL Lamb,HJ Armitage,51,3
50,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,EL Lamb,AN Davidson-Richards,52,3
51,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,EL Lamb,HJ Armitage,53,3
52,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,EL Lamb,AN Davidson-Richards,54,3
53,0,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,EL Lamb,HJ Armitage,54,3
54,4,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,PC Graham,AN Davidson-Richards,58,3
55,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,PC Graham,AN Davidson-Richards,59,3
56,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,PC Graham,HJ Armitage,60,3
57,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,AN Davidson-Richards,PC Graham,HJ Armitage,61,3
58,1,0,Northern Superchargers,1,2023,female,Manchester Originals,3 wickets,"Old Trafford, Manchester",Northern Superchargers,bat,Manchester Originals,HJ Armitage,PC Graham,AN Davidson-Richards,62,3
