Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,Shaheen Shah Afridi,BM Duckett,1,0
2,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,1,0
3,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,1,0
4,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,2,0
5,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,Shaheen Shah Afridi,BM Duckett,3,0
6,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,DJ Willey,WCF Smeed,4,0
7,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,DJ Willey,BM Duckett,5,0
8,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,DJ Willey,WCF Smeed,5,0
9,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,DJ Willey,WCF Smeed,6,0
10,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,DJ Willey,BM Duckett,6,0
11,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,6,0
12,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,6,0
13,4,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,10,0
14,4,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,14,0
15,4,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Shaheen Shah Afridi,WCF Smeed,18,0
16,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Haris Rauf,WCF Smeed,18,0
17,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,Haris Rauf,WCF Smeed,19,0
18,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,Haris Rauf,BM Duckett,19,0
19,4,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,Haris Rauf,BM Duckett,23,0
20,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,Haris Rauf,BM Duckett,24,0
21,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,DA Payne,BM Duckett,25,0
22,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,DA Payne,WCF Smeed,26,0
23,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,DA Payne,BM Duckett,26,0
24,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,DA Payne,BM Duckett,26,0
25,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,DA Payne,BM Duckett,26,0
26,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,RE van der Merwe,BM Duckett,27,0
27,2,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,RE van der Merwe,WCF Smeed,29,0
28,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,RE van der Merwe,WCF Smeed,30,0
29,0,1,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,WCF Smeed,RE van der Merwe,BM Duckett,30,1
30,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,RE van der Merwe,BM Duckett,31,1
31,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,LWP Wells,BM Duckett,32,1
32,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,LWP Wells,JL Smith,33,1
33,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,LWP Wells,BM Duckett,34,1
34,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,LWP Wells,BM Duckett,34,1
35,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,LWP Wells,BM Duckett,35,1
36,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,LWP Wells,JL Smith,36,1
37,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,RE van der Merwe,BM Duckett,37,1
38,4,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,RE van der Merwe,JL Smith,41,1
39,0,1,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,BM Duckett,RE van der Merwe,JL Smith,41,2
40,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,MM Ali,RE van der Merwe,JL Smith,41,2
41,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,MM Ali,RE van der Merwe,JL Smith,42,2
42,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,MM Ali,BGF Green,JL Smith,43,2
43,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,BGF Green,MM Ali,44,2
44,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,MM Ali,BGF Green,JL Smith,45,2
45,0,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,BGF Green,MM Ali,45,2
46,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,BGF Green,MM Ali,46,2
47,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,MM Ali,Haris Rauf,JL Smith,47,2
48,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,Haris Rauf,MM Ali,48,2
49,1,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,MM Ali,Haris Rauf,JL Smith,49,2
50,4,0,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,Haris Rauf,MM Ali,53,2
51,0,1,Birmingham Phoenix,1,2023,male,Welsh Fire,6 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,bat,Welsh Fire,JL Smith,Haris Rauf,MM Ali,53,3
