Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,2,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,DL Lloyd,2,0
2,2,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,DL Lloyd,4,0
3,1,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,DL Lloyd,5,0
4,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DL Lloyd,GHS Garton,T Banton,5,0
5,6,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DL Lloyd,GHS Garton,T Banton,11,0
6,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DL Lloyd,DR Briggs,T Banton,11,0
7,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DL Lloyd,DR Briggs,T Banton,11,0
8,0,1,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DL Lloyd,DR Briggs,T Banton,11,1
9,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,IA Cockbain,DR Briggs,T Banton,11,1
10,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,IA Cockbain,DR Briggs,T Banton,11,1
11,1,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,DR Briggs,IA Cockbain,12,1
12,1,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,IA Cockbain,DR Briggs,T Banton,13,1
13,6,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,DR Briggs,IA Cockbain,19,1
14,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,DR Briggs,IA Cockbain,19,1
15,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,DR Briggs,IA Cockbain,19,1
16,6,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,IA Cockbain,25,1
17,6,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,IA Cockbain,31,1
18,1,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,IA Cockbain,32,1
19,0,0,Welsh Fire,1,2021,male,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,IA Cockbain,GHS Garton,T Banton,32,1
