Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,AF Milne,JP Inglis,0,0
2,2,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,AF Milne,JP Inglis,2,0
3,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,AF Milne,JP Inglis,2,0
4,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,AF Milne,JP Inglis,3,0
5,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,AF Milne,Z Crawley,3,0
6,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,AF Milne,Z Crawley,4,0
7,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,JP Inglis,5,0
8,4,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,TG Helm,Z Crawley,9,0
9,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,TG Helm,Z Crawley,9,0
10,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,TG Helm,Z Crawley,10,0
11,6,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,JP Inglis,16,0
12,4,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,AF Milne,Z Crawley,20,0
13,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,AF Milne,Z Crawley,20,0
14,0,1,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,JP Inglis,AF Milne,Z Crawley,20,1
15,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,DW Lawrence,AF Milne,Z Crawley,20,1
16,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,DW Lawrence,AF Milne,Z Crawley,20,1
17,6,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,DW Lawrence,TG Helm,Z Crawley,26,1
18,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,DW Lawrence,TG Helm,Z Crawley,26,1
19,0,1,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,DW Lawrence,TG Helm,Z Crawley,26,2
20,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,EJG Morgan,TG Helm,Z Crawley,27,2
21,4,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,EJG Morgan,31,2
22,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,EJG Morgan,BAC Howell,Z Crawley,31,2
23,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,EJG Morgan,BAC Howell,Z Crawley,32,2
24,4,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,BAC Howell,EJG Morgan,36,2
25,4,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,BAC Howell,EJG Morgan,40,2
26,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,BAC Howell,EJG Morgan,41,2
27,2,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,EJG Morgan,LS Livingstone,Z Crawley,43,2
28,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,EJG Morgan,LS Livingstone,Z Crawley,44,2
29,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,LS Livingstone,EJG Morgan,45,2
30,0,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,EJG Morgan,LS Livingstone,Z Crawley,45,2
31,1,0,London Spirit,1,2021,male,Birmingham Phoenix,3 wickets,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,EJG Morgan,LS Livingstone,Z Crawley,46,2
