Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,RJW Topley,JG Bethell,0,0
2,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,RJW Topley,JG Bethell,0,0
3,1,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,RJW Topley,JG Bethell,1,0
4,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,JG Bethell,RJW Topley,WCF Smeed,1,0
5,1,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,JG Bethell,RJW Topley,WCF Smeed,2,0
6,0,1,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,JG Bethell,RJW Topley,WCF Smeed,2,1
7,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,RJW Topley,WCF Smeed,2,1
8,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,RJW Topley,WCF Smeed,2,1
9,6,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,RJW Topley,WCF Smeed,8,1
10,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,RJW Topley,WCF Smeed,8,1
11,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,RJW Topley,WCF Smeed,8,1
12,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,D Wiese,BM Duckett,8,1
13,2,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,D Wiese,BM Duckett,10,1
14,4,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,D Wiese,WCF Smeed,14,1
15,1,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,D Wiese,WCF Smeed,15,1
16,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,D Wiese,BM Duckett,15,1
17,1,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,D Wiese,BM Duckett,16,1
18,1,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,WD Parnell,WCF Smeed,17,1
19,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,WD Parnell,BM Duckett,17,1
20,0,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,WD Parnell,BM Duckett,17,1
21,1,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,WD Parnell,BM Duckett,18,1
22,2,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,BM Duckett,WD Parnell,WCF Smeed,20,1
23,4,0,Birmingham Phoenix,1,2023,male,Tie,,"Headingley, Leeds",Northern Superchargers,field,,WCF Smeed,BA Carse,BM Duckett,24,1
