Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,E Jones,LF Higham,SFM Devine,0,0
2,1,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,E Jones,LF Higham,SFM Devine,1,0
3,1,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,SFM Devine,LF Higham,E Jones,2,0
4,2,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,E Jones,LF Higham,SFM Devine,4,0
5,1,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,E Jones,LF Higham,SFM Devine,5,0
6,0,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,SFM Devine,BA Langston,E Jones,5,0
7,1,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,SFM Devine,BA Langston,E Jones,6,0
8,0,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,E Jones,BA Langston,SFM Devine,6,0
9,4,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,E Jones,BA Langston,SFM Devine,10,0
10,2,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,E Jones,BA Langston,SFM Devine,12,0
11,4,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,SFM Devine,AN Davidson-Richards,E Jones,16,0
12,0,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,SFM Devine,AN Davidson-Richards,E Jones,16,0
13,1,0,Birmingham Phoenix,1,2022,female,Birmingham Phoenix,5 runs,"Edgbaston, Birmingham",Northern Superchargers,field,Northern Superchargers,SFM Devine,AN Davidson-Richards,E Jones,17,0
