Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,L Lee,EA Burns,BF Smith,1,0
2,2,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,EA Burns,L Lee,3,0
3,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,EA Burns,L Lee,3,0
4,4,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,EA Burns,L Lee,7,0
5,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,EA Burns,L Lee,7,0
6,1,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,T Flintoff,L Lee,8,0
7,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,T Flintoff,L Lee,8,0
8,1,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,T Flintoff,L Lee,9,0
9,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,L Lee,T Flintoff,BF Smith,9,0
10,5,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,L Lee,T Flintoff,BF Smith,14,0
11,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,L Lee,T Flintoff,BF Smith,14,0
12,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,L Lee,T Flintoff,BF Smith,14,0
13,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,SFM Devine,L Lee,14,0
14,4,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,SFM Devine,L Lee,18,0
15,1,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,SFM Devine,L Lee,19,0
16,0,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,L Lee,SFM Devine,BF Smith,19,0
17,1,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,L Lee,SFM Devine,BF Smith,20,0
18,1,0,Trent Rockets,1,2023,female,Trent Rockets,3 runs,"Trent Bridge, Nottingham",Trent Rockets,bat,Birmingham Phoenix,BF Smith,KA Levick,L Lee,21,0
