Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,AM Rossington,KW Richardson,Z Crawley,1,0
2,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,KW Richardson,AM Rossington,1,0
3,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,KW Richardson,AM Rossington,1,0
4,4,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,KW Richardson,AM Rossington,5,0
5,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,KW Richardson,AM Rossington,5,0
6,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,AM Rossington,5,0
7,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,AM Rossington,5,0
8,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,AM Rossington,5,0
9,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,AM Rossington,5,0
10,1,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,TG Helm,AM Rossington,6,0
11,1,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,Z Crawley,KW Richardson,AM Rossington,7,0
12,0,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,AM Rossington,KW Richardson,Z Crawley,7,0
13,1,0,London Spirit,1,2022,male,Birmingham Phoenix,1 wickets,"Lord's, London",Birmingham Phoenix,field,Birmingham Phoenix,AM Rossington,KW Richardson,Z Crawley,8,0
