Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,1,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JJ Roy,RJW Topley,WG Jacks,0,1
2,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,RJW Topley,WG Jacks,1,1
3,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,RJW Topley,JM Cox,5,1
4,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,RJW Topley,JM Cox,9,1
5,0,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,RJW Topley,JM Cox,9,1
6,0,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,CF Parkinson,JM Cox,9,1
7,0,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,CF Parkinson,JM Cox,9,1
8,0,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,CF Parkinson,JM Cox,9,1
9,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,CF Parkinson,JM Cox,13,1
10,2,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,CF Parkinson,JM Cox,15,1
11,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,CF Parkinson,WG Jacks,19,1
12,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,CF Parkinson,WG Jacks,23,1
13,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,CF Parkinson,WG Jacks,24,1
14,0,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,CF Parkinson,JM Cox,24,1
15,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,CF Parkinson,JM Cox,25,1
16,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,WD Parnell,WG Jacks,26,1
17,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,WD Parnell,JM Cox,27,1
18,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,WD Parnell,WG Jacks,28,1
19,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,WD Parnell,JM Cox,32,1
20,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,WD Parnell,JM Cox,33,1
21,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,RJW Topley,JM Cox,37,1
22,0,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,RJW Topley,JM Cox,37,1
23,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,WG Jacks,RJW Topley,JM Cox,38,1
24,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,RJW Topley,WG Jacks,42,1
25,0,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,RJW Topley,WG Jacks,42,1
26,4,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,D Wiese,WG Jacks,46,1
27,2,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,D Wiese,WG Jacks,48,1
28,1,0,Oval Invincibles,1,2023,male,Oval Invincibles,9 runs,"Headingley, Leeds",Oval Invincibles,bat,Northern Superchargers,JM Cox,D Wiese,WG Jacks,49,1
