Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SJ Cook,WCF Smeed,1,0
2,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,SJ Cook,FH Allen,1,0
3,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,SJ Cook,FH Allen,1,0
4,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,SJ Cook,FH Allen,5,0
5,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,SJ Cook,FH Allen,9,0
6,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,SR Patel,FH Allen,13,0
7,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,SR Patel,FH Allen,14,0
8,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SR Patel,WCF Smeed,15,0
9,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,SR Patel,FH Allen,16,0
10,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SR Patel,WCF Smeed,20,0
11,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,M Carter,FH Allen,20,0
12,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,M Carter,FH Allen,24,0
13,0,1,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,WCF Smeed,M Carter,FH Allen,24,1
14,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,M Carter,FH Allen,25,1
15,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,M Carter,LS Livingstone,29,1
16,2,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SR Patel,LS Livingstone,31,1
17,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SR Patel,LS Livingstone,32,1
18,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,SR Patel,FH Allen,33,1
19,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SR Patel,LS Livingstone,34,1
20,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,SR Patel,FH Allen,35,1
21,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,SJ Cook,FH Allen,35,1
22,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,SJ Cook,FH Allen,39,1
23,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,SJ Cook,FH Allen,40,1
24,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SJ Cook,LS Livingstone,40,1
25,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,SJ Cook,LS Livingstone,41,1
26,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,Rashid Khan,FH Allen,42,1
27,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,Rashid Khan,LS Livingstone,43,1
28,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,Rashid Khan,FH Allen,43,1
29,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,Rashid Khan,FH Allen,43,1
30,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,Rashid Khan,FH Allen,43,1
31,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,Rashid Khan,LS Livingstone,44,1
32,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,Rashid Khan,FH Allen,45,1
33,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,Rashid Khan,LS Livingstone,46,1
34,6,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,Rashid Khan,FH Allen,52,1
35,4,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,Rashid Khan,FH Allen,56,1
36,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,M de Lange,FH Allen,56,1
37,6,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,M de Lange,FH Allen,62,1
38,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,M de Lange,FH Allen,63,1
39,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,M de Lange,LS Livingstone,64,1
40,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,M de Lange,FH Allen,65,1
41,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,LS Livingstone,M Carter,FH Allen,66,1
42,0,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,M Carter,LS Livingstone,66,1
43,1,0,Birmingham Phoenix,1,2021,male,Birmingham Phoenix,16 runs,"Trent Bridge, Nottingham",Trent Rockets,field,Trent Rockets,FH Allen,M Carter,LS Livingstone,67,1
