Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,1,0
2,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,L Lee,C Nicholas,EL Lamb,1,0
3,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,L Lee,C Nicholas,EL Lamb,1,0
4,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,L Lee,C Nicholas,EL Lamb,2,0
5,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,2,0
6,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,L Filer,L Lee,3,0
7,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,L Filer,L Lee,4,0
8,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,L Filer,L Lee,4,0
9,4,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,L Filer,L Lee,8,0
10,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,L Filer,L Lee,9,0
11,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,L Lee,L Filer,EL Lamb,10,0
12,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,L Filer,L Lee,11,0
13,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,11,0
14,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,11,0
15,3,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,14,0
16,1,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,L Lee,C Nicholas,EL Lamb,15,0
17,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,15,0
18,4,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,19,0
19,4,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,C Nicholas,L Lee,23,0
20,0,0,Manchester Originals,1,2022,female,Manchester Originals,11 runs,"Old Trafford, Manchester",Welsh Fire,field,Welsh Fire,EL Lamb,A Sutherland,L Lee,23,0
