Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,M Kelly,M Kapp,JI Rodrigues,0,0
2,1,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,M Kelly,M Kapp,JI Rodrigues,1,0
3,0,1,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,JI Rodrigues,M Kapp,M Kelly,1,1
4,0,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,P Litchfield,M Kapp,M Kelly,1,1
5,4,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,P Litchfield,M Kapp,M Kelly,5,1
6,0,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,P Litchfield,MK Villiers,M Kelly,5,1
7,1,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,P Litchfield,MK Villiers,M Kelly,6,1
8,0,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,M Kelly,MK Villiers,P Litchfield,6,1
9,0,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,M Kelly,MK Villiers,P Litchfield,6,1
10,1,0,Northern Superchargers,1,2023,female,Northern Superchargers,14 runs,"Headingley, Leeds",Northern Superchargers,bat,Oval Invincibles,M Kelly,MK Villiers,P Litchfield,7,1
