Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,JM Vince,L Wood,DP Conway,1,0
2,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,L Wood,JM Vince,5,0
3,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,L Wood,JM Vince,5,0
4,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,L Wood,JM Vince,6,0
5,0,1,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,JM Vince,L Wood,DP Conway,6,1
6,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Wood,DP Conway,10,1
7,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Wood,DP Conway,14,1
8,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Wood,DP Conway,14,1
9,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Wood,DP Conway,18,1
10,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Wood,DP Conway,18,1
11,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,SR Patel,AL Davies,22,1
12,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,SR Patel,AL Davies,23,1
13,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,SR Patel,DP Conway,24,1
14,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,SR Patel,AL Davies,25,1
15,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,SR Patel,DP Conway,25,1
16,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Gregory,DP Conway,25,1
17,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Gregory,DP Conway,29,1
18,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Gregory,DP Conway,29,1
19,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Gregory,DP Conway,33,1
20,0,1,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,AL Davies,L Gregory,DP Conway,33,2
21,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,JE Root,DMW Rawlins,34,2
22,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,JE Root,DP Conway,35,2
23,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,JE Root,DMW Rawlins,35,2
24,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,JE Root,DMW Rawlins,35,2
25,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,JE Root,DMW Rawlins,36,2
26,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,JE Root,DP Conway,37,2
27,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,JE Root,DP Conway,37,2
28,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,JE Root,DP Conway,38,2
29,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,JE Root,DP Conway,38,2
30,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,JE Root,DP Conway,39,2
31,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,JE Root,DMW Rawlins,39,2
32,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,JE Root,DMW Rawlins,40,2
33,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,Rashid Khan,DMW Rawlins,41,2
34,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,Rashid Khan,DP Conway,45,2
35,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,Rashid Khan,DP Conway,46,2
36,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,Rashid Khan,DMW Rawlins,46,2
37,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,Rashid Khan,DMW Rawlins,47,2
38,0,1,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DMW Rawlins,M de Lange,DP Conway,47,3
39,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,C de Grandhomme,M de Lange,DP Conway,48,3
40,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,C de Grandhomme,M de Lange,DP Conway,48,3
41,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,C de Grandhomme,M de Lange,DP Conway,52,3
42,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,C de Grandhomme,M de Lange,DP Conway,52,3
43,0,1,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,C de Grandhomme,M de Lange,DP Conway,52,4
44,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,Rashid Khan,RA Whiteley,52,4
45,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,Rashid Khan,RA Whiteley,52,4
46,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,Rashid Khan,RA Whiteley,53,4
47,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,Rashid Khan,DP Conway,53,4
48,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,Rashid Khan,DP Conway,53,4
49,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,DP Conway,53,4
50,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,DP Conway,53,4
51,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,DP Conway,53,4
52,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,DP Conway,54,4
53,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,DP Conway,55,4
54,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,JE Root,RA Whiteley,56,4
55,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,M de Lange,RA Whiteley,57,4
56,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,M de Lange,DP Conway,58,4
57,0,1,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,DP Conway,M de Lange,RA Whiteley,58,5
58,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,LA Dawson,M de Lange,RA Whiteley,59,5
59,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,M de Lange,LA Dawson,60,5
60,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,LA Dawson,L Gregory,RA Whiteley,60,5
61,2,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,LA Dawson,L Gregory,RA Whiteley,62,5
62,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,LA Dawson,L Gregory,RA Whiteley,62,5
63,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,LA Dawson,L Gregory,RA Whiteley,63,5
64,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,L Gregory,LA Dawson,64,5
65,4,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,LA Dawson,68,5
66,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,LA Dawson,69,5
67,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,LA Dawson,JE Root,RA Whiteley,70,5
68,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,RA Whiteley,JE Root,LA Dawson,71,5
69,0,1,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,LA Dawson,JE Root,RA Whiteley,71,6
70,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,CJ Jordan,SR Patel,RA Whiteley,71,6
71,0,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,CJ Jordan,SR Patel,RA Whiteley,71,6
72,1,0,Southern Brave,1,2021,male,Trent Rockets,9 wickets,"Trent Bridge, Nottingham",Southern Brave,bat,Trent Rockets,CJ Jordan,SR Patel,RA Whiteley,72,6
