Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,T Banton,RJW Topley,JJ Cobb,1,0
2,0,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,JJ Cobb,RJW Topley,T Banton,1,0
3,0,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,JJ Cobb,RJW Topley,T Banton,1,0
4,6,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,JJ Cobb,RJW Topley,T Banton,7,0
5,4,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,JJ Cobb,RJW Topley,T Banton,11,0
6,0,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,JJ Cobb,S Mahmood,T Banton,11,0
7,1,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,JJ Cobb,S Mahmood,T Banton,12,0
8,4,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,T Banton,S Mahmood,JJ Cobb,16,0
9,1,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,T Banton,S Mahmood,JJ Cobb,17,0
10,2,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,JJ Cobb,S Mahmood,T Banton,19,0
11,0,1,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,T Banton,RJW Topley,JJ Cobb,19,1
12,0,1,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,BM Duckett,RJW Topley,JJ Cobb,19,2
13,1,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,BM Duckett,RJW Topley,GD Phillips,20,2
14,0,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,GD Phillips,RJW Topley,BM Duckett,20,2
15,1,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,GD Phillips,RJW Topley,BM Duckett,21,2
16,0,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,BM Duckett,TK Curran,GD Phillips,21,2
17,4,0,Welsh Fire,1,2021,male,Oval Invincibles,6 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,BM Duckett,TK Curran,GD Phillips,25,2
