Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,4,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,FH Allen,GHS Garton,DJ Bell-Drummond,4,0
2,0,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,FH Allen,GHS Garton,DJ Bell-Drummond,4,0
3,0,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,FH Allen,GHS Garton,DJ Bell-Drummond,4,0
4,1,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,FH Allen,GHS Garton,DJ Bell-Drummond,5,0
5,1,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,FH Allen,GHS Garton,DJ Bell-Drummond,6,0
6,1,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Bell-Drummond,GHS Garton,FH Allen,7,0
7,1,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,FH Allen,GHS Garton,DJ Bell-Drummond,8,0
8,0,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Bell-Drummond,GHS Garton,FH Allen,8,0
9,0,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Bell-Drummond,GHS Garton,FH Allen,8,0
10,0,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Bell-Drummond,GHS Garton,FH Allen,8,0
11,0,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Bell-Drummond,GHS Garton,FH Allen,8,0
12,1,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,FH Allen,C de Grandhomme,DJ Bell-Drummond,9,0
13,1,0,Birmingham Phoenix,1,2021,male,Southern Brave,4 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Bell-Drummond,C de Grandhomme,FH Allen,10,0
