Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,GJ Maxwell,A Lyth,0,0
2,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,GJ Maxwell,A Lyth,0,0
3,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,GJ Maxwell,A Lyth,1,0
4,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,A Lyth,GJ Maxwell,F du Plessis,1,0
5,0,1,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,A Lyth,GJ Maxwell,F du Plessis,1,1
6,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,1,1
7,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,1,1
8,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,1,1
9,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,1,1
10,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,2,1
11,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,NT Ellis,F du Plessis,2,1
12,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,NT Ellis,F du Plessis,2,1
13,3,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,NT Ellis,F du Plessis,5,1
14,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,NT Ellis,DJ Willey,5,1
15,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,NT Ellis,DJ Willey,5,1
16,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,NT Ellis,DJ Willey,6,1
17,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,JA Thompson,F du Plessis,7,1
18,4,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,JA Thompson,DJ Willey,11,1
19,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,JA Thompson,DJ Willey,12,1
20,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,JA Thompson,F du Plessis,13,1
21,4,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,JA Thompson,DJ Willey,17,1
22,4,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,NT Ellis,F du Plessis,21,1
23,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,NT Ellis,F du Plessis,22,1
24,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,NT Ellis,DJ Willey,23,1
25,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,NT Ellis,F du Plessis,23,1
26,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,NT Ellis,F du Plessis,23,1
27,2,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,25,1
28,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,26,1
29,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,GJ Maxwell,DJ Willey,27,1
30,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,27,1
31,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,GJ Maxwell,F du Plessis,27,1
32,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,BTJ Wheal,DJ Willey,27,1
33,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,BTJ Wheal,DJ Willey,28,1
34,2,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,BTJ Wheal,F du Plessis,30,1
35,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,BTJ Wheal,F du Plessis,30,1
36,2,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,BTJ Wheal,F du Plessis,32,1
37,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,MS Crane,F du Plessis,33,1
38,4,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,MS Crane,DJ Willey,37,1
39,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,MS Crane,DJ Willey,38,1
40,0,1,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,DJ Willey,MS Crane,F du Plessis,38,2
41,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,MS Crane,F du Plessis,39,2
42,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,LA Dawson,F du Plessis,39,2
43,6,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,LA Dawson,F du Plessis,45,2
44,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,LA Dawson,F du Plessis,46,2
45,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,LA Dawson,HC Brook,47,2
46,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,LA Dawson,F du Plessis,48,2
47,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,LA Dawson,HC Brook,49,2
48,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,LA Dawson,F du Plessis,50,2
49,6,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,LA Dawson,HC Brook,56,2
50,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,LA Dawson,HC Brook,57,2
51,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,LA Dawson,F du Plessis,58,2
52,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,MS Crane,F du Plessis,59,2
53,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,MS Crane,HC Brook,60,2
54,0,1,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,HC Brook,MS Crane,F du Plessis,60,3
55,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,MS Crane,F du Plessis,60,3
56,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,MS Crane,F du Plessis,60,3
57,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,MS Crane,F du Plessis,61,3
58,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,MS Crane,MS Pepper,62,3
59,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,MS Crane,F du Plessis,63,3
60,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,MS Crane,MS Pepper,64,3
61,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,MS Crane,F du Plessis,64,3
62,4,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,JA Thompson,MS Pepper,68,3
63,2,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,JA Thompson,MS Pepper,70,3
64,2,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,JA Thompson,MS Pepper,72,3
65,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,JA Thompson,MS Pepper,73,3
66,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,JA Thompson,F du Plessis,74,3
67,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,BTJ Wheal,MS Pepper,74,3
68,1,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,F du Plessis,BTJ Wheal,MS Pepper,75,3
69,0,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,BTJ Wheal,F du Plessis,75,3
70,4,0,Northern Superchargers,1,2022,male,London Spirit,7 wickets,"Headingley, Leeds",Northern Superchargers,bat,London Spirit,MS Pepper,BTJ Wheal,F du Plessis,79,3
