Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,A Shrubsole,HK Matthews,0,0
2,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,A Shrubsole,HK Matthews,0,0
3,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,A Shrubsole,HK Matthews,0,0
4,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,A Shrubsole,HK Matthews,1,0
5,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Shrubsole,BF Smith,1,0
6,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,LK Bell,BF Smith,2,0
7,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,LK Bell,HK Matthews,3,0
8,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,LK Bell,HK Matthews,3,0
9,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,LK Bell,HK Matthews,3,0
10,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,LK Bell,HK Matthews,3,0
11,0,1,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,BF Smith,LK Bell,HK Matthews,3,1
12,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,A Shrubsole,HK Matthews,3,1
13,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,A Shrubsole,HK Matthews,3,1
14,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,A Shrubsole,HK Matthews,4,1
15,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Shrubsole,AJ Macleod,8,1
16,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Shrubsole,AJ Macleod,9,1
17,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,LK Bell,HK Matthews,10,1
18,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,LK Bell,HK Matthews,10,1
19,2,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,LK Bell,HK Matthews,12,1
20,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,LK Bell,HK Matthews,13,1
21,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,LK Bell,AJ Macleod,13,1
22,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,LK Bell,AJ Macleod,14,1
23,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,LK Bell,AJ Macleod,15,1
24,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,CM Taylor,AJ Macleod,19,1
25,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,CM Taylor,AJ Macleod,20,1
26,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,CM Taylor,HK Matthews,21,1
27,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,CM Taylor,AJ Macleod,25,1
28,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,CM Taylor,AJ Macleod,26,1
29,0,1,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,AJ Macleod,A Wellington,HK Matthews,26,2
30,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,A Wellington,HK Matthews,27,2
31,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Wellington,G Redmayne,27,2
32,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Wellington,G Redmayne,31,2
33,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Wellington,G Redmayne,35,2
34,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,35,2
35,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,36,2
36,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,SR Taylor,G Redmayne,37,2
37,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,41,2
38,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,41,2
39,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,42,2
40,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,42,2
41,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,43,2
42,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,SR Taylor,G Redmayne,44,2
43,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,44,2
44,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,HK Matthews,44,2
45,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Wellington,G Redmayne,45,2
46,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,A Wellington,HK Matthews,45,2
47,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,A Wellington,HK Matthews,46,2
48,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Wellington,G Redmayne,50,2
49,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,A Wellington,G Redmayne,50,2
50,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,LK Bell,G Redmayne,51,2
51,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,LK Bell,HK Matthews,52,2
52,0,1,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,HK Matthews,LK Bell,G Redmayne,52,3
53,0,1,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SJ Taylor,LK Bell,G Redmayne,52,4
54,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,LK Bell,G Redmayne,53,4
55,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,LK Bell,G Redmayne,53,4
56,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,FMK Morris,SN Luff,53,4
57,2,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,FMK Morris,SN Luff,55,4
58,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,FMK Morris,G Redmayne,55,4
59,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,FMK Morris,G Redmayne,56,4
60,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,FMK Morris,SN Luff,57,4
61,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,FMK Morris,G Redmayne,58,4
62,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,CM Taylor,SN Luff,59,4
63,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,CM Taylor,G Redmayne,63,4
64,2,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,CM Taylor,G Redmayne,65,4
65,0,1,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SN Luff,CM Taylor,G Redmayne,65,5
66,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,CM Taylor,G Redmayne,66,5
67,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,A Wellington,G Redmayne,67,5
68,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,A Wellington,GM Hennessy,68,5
69,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,A Wellington,G Redmayne,68,5
70,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,A Wellington,G Redmayne,68,5
71,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,A Wellington,G Redmayne,68,5
72,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,SR Taylor,G Redmayne,68,5
73,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,SR Taylor,G Redmayne,69,5
74,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,GM Hennessy,69,5
75,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,SR Taylor,GM Hennessy,70,5
76,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,SR Taylor,G Redmayne,71,5
77,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,SR Taylor,G Redmayne,71,5
78,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,FMK Morris,GM Hennessy,72,5
79,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,FMK Morris,G Redmayne,73,5
80,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,G Redmayne,FMK Morris,GM Hennessy,74,5
81,0,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,FMK Morris,G Redmayne,74,5
82,0,1,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,FMK Morris,G Redmayne,74,6
83,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,P Cleary,FMK Morris,GM Hennessy,75,6
84,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,FMK Morris,P Cleary,76,6
85,1,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,P Cleary,FMK Morris,GM Hennessy,77,6
86,4,0,Welsh Fire,1,2021,female,Southern Brave,8 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,GM Hennessy,FMK Morris,P Cleary,81,6
