Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,WCF Smeed,DA Payne,CG Benjamin,0,0
2,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,WCF Smeed,DA Payne,CG Benjamin,0,0
3,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,WCF Smeed,DA Payne,CG Benjamin,0,0
4,0,1,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,WCF Smeed,DA Payne,CG Benjamin,0,1
5,1,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,MM Ali,DA Payne,CG Benjamin,1,1
6,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,CG Benjamin,D Pretorius,MM Ali,1,1
7,1,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,CG Benjamin,D Pretorius,MM Ali,2,1
8,4,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,MM Ali,D Pretorius,CG Benjamin,6,1
9,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,MM Ali,D Pretorius,CG Benjamin,6,1
10,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,MM Ali,D Pretorius,CG Benjamin,6,1
11,4,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,CG Benjamin,DA Payne,MM Ali,10,1
12,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,CG Benjamin,DA Payne,MM Ali,10,1
13,0,0,Birmingham Phoenix,1,2022,male,Birmingham Phoenix,4 runs,"Sophia Gardens, Cardiff",Welsh Fire,field,Welsh Fire,CG Benjamin,DA Payne,MM Ali,10,1
