Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,TT Beaumont,1,0
2,2,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,TT Beaumont,3,0
3,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,TT Beaumont,4,0
4,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,LK Bell,SIR Dunkley,5,0
5,4,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,TT Beaumont,9,0
6,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,TT Beaumont,10,0
7,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,LK Bell,SIR Dunkley,10,0
8,4,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,A Shrubsole,SIR Dunkley,14,0
9,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,A Shrubsole,SIR Dunkley,14,0
10,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,A Shrubsole,SIR Dunkley,14,0
11,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,A Shrubsole,SIR Dunkley,15,0
12,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,A Shrubsole,TT Beaumont,15,0
13,4,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,GL Adams,SIR Dunkley,19,0
14,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,GL Adams,SIR Dunkley,19,0
15,0,1,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,TT Beaumont,GL Adams,SIR Dunkley,19,1
16,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SJ Bryce,GL Adams,SIR Dunkley,20,1
17,6,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,GL Adams,SJ Bryce,26,1
18,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,A Shrubsole,SJ Bryce,26,1
19,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,A Shrubsole,SJ Bryce,26,1
20,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,A Shrubsole,SJ Bryce,27,1
21,4,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SJ Bryce,A Shrubsole,SIR Dunkley,31,1
22,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SJ Bryce,A Shrubsole,SIR Dunkley,31,1
23,4,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,SJ Bryce,35,1
24,2,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,SJ Bryce,37,1
25,4,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,SJ Bryce,41,1
26,2,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,SJ Bryce,43,1
27,4,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,LK Bell,SJ Bryce,47,1
28,0,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,K Moore,SJ Bryce,47,1
29,1,0,Welsh Fire,1,2023,female,Southern Brave,2 wickets,"Sophia Gardens, Cardiff",Southern Brave,field,Southern Brave,SIR Dunkley,K Moore,SJ Bryce,48,1
