Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,JJ Cobb,DJ Bell-Drummond,1,0
2,1,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,DJ Bell-Drummond,JJ Cobb,AM Rossington,2,0
3,1,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,JJ Cobb,DJ Bell-Drummond,3,0
4,1,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,DJ Bell-Drummond,JJ Cobb,AM Rossington,4,0
5,2,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,JJ Cobb,DJ Bell-Drummond,6,0
6,0,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,DA Payne,DJ Bell-Drummond,6,0
7,1,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,DA Payne,DJ Bell-Drummond,7,0
8,2,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,DJ Bell-Drummond,DA Payne,AM Rossington,9,0
9,0,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,DJ Bell-Drummond,DA Payne,AM Rossington,9,0
10,2,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,DJ Bell-Drummond,DA Payne,AM Rossington,11,0
11,0,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,D Pretorius,DJ Bell-Drummond,11,0
12,2,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,D Pretorius,DJ Bell-Drummond,13,0
13,4,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,D Pretorius,DJ Bell-Drummond,17,0
14,0,0,London Spirit,1,2022,male,London Spirit,17 runs,"Lord's, London",Welsh Fire,field,Welsh Fire,AM Rossington,D Pretorius,DJ Bell-Drummond,17,0
