Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,C Overton,MW Short,1,0
2,4,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,C Overton,T Banton,5,0
3,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,C Overton,T Banton,5,0
4,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,C Overton,T Banton,5,0
5,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,C Overton,T Banton,5,0
6,2,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,GHS Garton,T Banton,7,0
7,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,GHS Garton,T Banton,7,0
8,1,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,GHS Garton,T Banton,8,0
9,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,MW Short,8,0
10,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,MW Short,8,0
11,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Banton,GHS Garton,MW Short,8,0
12,0,0,Northern Superchargers,1,2023,male,Northern Superchargers,60 runs,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,MW Short,C Overton,T Banton,8,0
