Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,SFM Devine,S Ismail,E Jones,1,0
2,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,E Jones,S Ismail,SFM Devine,1,0
3,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,E Jones,S Ismail,SFM Devine,1,0
4,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,E Jones,S Ismail,SFM Devine,1,0
5,4,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,E Jones,S Ismail,SFM Devine,5,0
6,1,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,E Jones,Sophia Smale,SFM Devine,6,0
7,4,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,SFM Devine,Sophia Smale,E Jones,10,0
8,2,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,SFM Devine,Sophia Smale,E Jones,12,0
9,0,1,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,SFM Devine,Sophia Smale,E Jones,12,1
10,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AE Jones,Sophia Smale,E Jones,12,1
11,1,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,E Jones,Sophia Smale,AE Jones,13,1
12,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AE Jones,Sophia Smale,E Jones,13,1
13,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AE Jones,Sophia Smale,E Jones,13,1
14,2,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AE Jones,Sophia Smale,E Jones,15,1
15,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AE Jones,Sophia Smale,E Jones,15,1
16,0,0,Birmingham Phoenix,1,2022,female,Oval Invincibles,8 wickets,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AE Jones,S Ismail,E Jones,15,1
