Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,1,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,WCF Smeed,TG Southee,BM Duckett,0,1
2,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,TG Southee,BM Duckett,0,1
3,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,TG Southee,BM Duckett,0,1
4,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,TG Southee,BM Duckett,4,1
5,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,TG Southee,BM Duckett,5,1
6,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,DW Lawrence,JL Smith,9,1
7,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,DW Lawrence,JL Smith,10,1
8,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,DW Lawrence,BM Duckett,10,1
9,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,DW Lawrence,BM Duckett,14,1
10,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,DW Lawrence,BM Duckett,15,1
11,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,TG Southee,BM Duckett,16,1
12,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,TG Southee,JL Smith,17,1
13,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,TG Southee,BM Duckett,17,1
14,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,TG Southee,BM Duckett,18,1
15,2,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,TG Southee,JL Smith,20,1
16,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,LA Dawson,JL Smith,20,1
17,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,LA Dawson,JL Smith,24,1
18,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,LA Dawson,JL Smith,28,1
19,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,LA Dawson,JL Smith,29,1
20,6,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,LA Dawson,BM Duckett,35,1
21,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,JA Thompson,JL Smith,39,1
22,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,JA Thompson,JL Smith,40,1
23,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,JA Thompson,JL Smith,41,1
24,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,JA Thompson,BM Duckett,45,1
25,6,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,JA Thompson,BM Duckett,51,1
26,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,JA Thompson,BM Duckett,51,1
27,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,DJ Mitchell,BM Duckett,51,1
28,3,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,DJ Mitchell,BM Duckett,54,1
29,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,DJ Mitchell,JL Smith,55,1
30,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,DJ Mitchell,BM Duckett,55,1
31,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,DJ Mitchell,BM Duckett,56,1
32,4,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,DJ Mitchell,JL Smith,60,1
33,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,MS Crane,BM Duckett,61,1
34,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,MS Crane,JL Smith,62,1
35,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,MS Crane,BM Duckett,63,1
36,0,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,MS Crane,JL Smith,63,1
37,1,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,BM Duckett,MS Crane,JL Smith,64,1
38,6,0,Birmingham Phoenix,1,2023,male,Birmingham Phoenix,77 runs,"Edgbaston, Birmingham",London Spirit,field,London Spirit,JL Smith,MS Crane,BM Duckett,70,1
