Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,BJ Dwarshuis,LJ Evans,0,0
2,4,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,BJ Dwarshuis,LJ Evans,4,0
3,4,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,BJ Dwarshuis,LJ Evans,8,0
4,0,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,BJ Dwarshuis,LJ Evans,8,0
5,1,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,BJ Dwarshuis,LJ Evans,9,0
6,0,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,LJ Evans,KW Richardson,PD Salt,9,0
7,0,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,LJ Evans,KW Richardson,PD Salt,9,0
8,1,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,LJ Evans,KW Richardson,PD Salt,10,0
9,4,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,KW Richardson,LJ Evans,14,0
10,1,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,KW Richardson,LJ Evans,15,0
11,1,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,TG Helm,LJ Evans,16,0
12,4,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,LJ Evans,TG Helm,PD Salt,20,0
13,1,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,LJ Evans,TG Helm,PD Salt,21,0
14,4,0,Manchester Originals,1,2022,male,Manchester Originals,79 runs,"Edgbaston, Birmingham",Manchester Originals,bat,Birmingham Phoenix,PD Salt,TG Helm,LJ Evans,25,0
