Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AD Hales,MG Hogan,DJ Malan,1,0
2,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,MG Hogan,AD Hales,2,0
3,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AD Hales,MG Hogan,DJ Malan,2,0
4,4,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AD Hales,MG Hogan,DJ Malan,6,0
5,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AD Hales,MG Hogan,DJ Malan,6,0
6,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AD Hales,S Baker,DJ Malan,7,0
7,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,S Baker,AD Hales,7,0
8,4,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,S Baker,AD Hales,11,0
9,4,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,S Baker,AD Hales,15,0
10,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,S Baker,AD Hales,15,0
11,2,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AD Hales,PR Stirling,DJ Malan,17,0
12,0,1,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AD Hales,PR Stirling,DJ Malan,17,1
13,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,PR Stirling,DJ Malan,17,1
14,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,PR Stirling,DJ Malan,17,1
15,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,PR Stirling,DJ Malan,18,1
16,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,PR Stirling,T Kohler-Cadmore,18,1
17,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,PR Stirling,T Kohler-Cadmore,19,1
18,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,PR Stirling,DJ Malan,20,1
19,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,PR Stirling,T Kohler-Cadmore,20,1
20,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,PR Stirling,T Kohler-Cadmore,21,1
21,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,Rehan Ahmed,T Kohler-Cadmore,22,1
22,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,Rehan Ahmed,DJ Malan,22,1
23,4,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,Rehan Ahmed,DJ Malan,26,1
24,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,Rehan Ahmed,DJ Malan,26,1
25,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,Rehan Ahmed,DJ Malan,27,1
26,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,JK Fuller,T Kohler-Cadmore,28,1
27,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,JK Fuller,DJ Malan,28,1
28,0,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,JK Fuller,DJ Malan,28,1
29,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,JK Fuller,DJ Malan,29,1
30,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,JK Fuller,T Kohler-Cadmore,30,1
31,2,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,JB Lintott,T Kohler-Cadmore,32,1
32,6,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,JB Lintott,T Kohler-Cadmore,38,1
33,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,JB Lintott,T Kohler-Cadmore,39,1
34,0,1,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,T Kohler-Cadmore,JB Lintott,DJ Malan,39,2
35,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,SR Patel,JB Lintott,DJ Malan,40,2
36,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,DJ Malan,PR Stirling,SR Patel,41,2
37,1,0,Trent Rockets,1,2022,male,Southern Brave,6 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,SR Patel,PR Stirling,DJ Malan,42,2
