Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,N Holland,M Kapp,DR Gibson,0,0
2,0,1,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,N Holland,M Kapp,DR Gibson,0,1
3,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,M Kapp,DR Gibson,0,1
4,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,M Kapp,DR Gibson,0,1
5,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,M Kapp,DR Gibson,0,1
6,1,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,M Kapp,DR Gibson,1,1
7,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DR Gibson,M Kapp,HC Knight,1,1
8,4,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DR Gibson,M Kapp,HC Knight,5,1
9,1,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DR Gibson,M Kapp,HC Knight,6,1
10,1,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,M Kapp,DR Gibson,7,1
11,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,R MacDonald-Gay,DR Gibson,7,1
12,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,R MacDonald-Gay,DR Gibson,7,1
13,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,R MacDonald-Gay,DR Gibson,7,1
14,4,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,R MacDonald-Gay,DR Gibson,11,1
15,4,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,R MacDonald-Gay,DR Gibson,15,1
16,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,M Kapp,DR Gibson,15,1
17,0,1,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,HC Knight,M Kapp,DR Gibson,15,2
18,1,1,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,GM Harris,M Kapp,DR Gibson,16,3
19,1,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,M Kapp,DR Gibson,17,3
20,4,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,DR Gibson,M Kapp,AC Kerr,21,3
21,1,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,E Gray,DR Gibson,22,3
22,1,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,E Gray,DR Gibson,23,3
23,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,E Gray,DR Gibson,23,3
24,4,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,E Gray,DR Gibson,27,3
25,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,E Gray,DR Gibson,27,3
26,4,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,E Gray,DR Gibson,31,3
27,0,0,London Spirit,1,2023,female,London Spirit,21 runs,"Kennington Oval, London",Oval Invincibles,field,Oval Invincibles,AC Kerr,E Gray,DR Gibson,31,3
