Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,CM Taylor,E Jones,0,0
2,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,CM Taylor,E Jones,1,0
3,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,CM Taylor,Shafali Verma,1,0
4,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,CM Taylor,Shafali Verma,1,0
5,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,CM Taylor,Shafali Verma,5,0
6,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,5,0
7,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,5,0
8,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,6,0
9,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,6,0
10,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,7,0
11,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,7,0
12,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,8,0
13,2,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,10,0
14,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,11,0
15,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,15,0
16,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,16,0
17,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,20,0
18,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,21,0
19,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Shrubsole,E Jones,25,0
20,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,LK Bell,E Jones,25,0
21,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,LK Bell,E Jones,26,0
22,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,26,0
23,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,LK Bell,Shafali Verma,27,0
24,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,LK Bell,E Jones,28,0
25,2,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,CM Taylor,E Jones,30,0
26,2,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,CM Taylor,E Jones,32,0
27,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,CM Taylor,E Jones,36,0
28,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,CM Taylor,E Jones,36,0
29,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,CM Taylor,E Jones,40,0
30,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Wellington,E Jones,41,0
31,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Wellington,Shafali Verma,42,0
32,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Wellington,E Jones,42,0
33,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Wellington,E Jones,43,0
34,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Wellington,Shafali Verma,44,0
35,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,SR Taylor,Shafali Verma,44,0
36,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,SR Taylor,Shafali Verma,48,0
37,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,SR Taylor,Shafali Verma,48,0
38,4,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,SR Taylor,Shafali Verma,52,0
39,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,SR Taylor,Shafali Verma,53,0
40,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Shrubsole,E Jones,53,0
41,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Shrubsole,E Jones,54,0
42,2,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,56,0
43,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,56,0
44,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Shrubsole,Shafali Verma,57,0
45,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,E Jones,A Wellington,Shafali Verma,58,0
46,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Wellington,E Jones,58,0
47,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Wellington,E Jones,58,0
48,0,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Wellington,E Jones,58,0
49,0,1,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,Shafali Verma,A Wellington,E Jones,58,1
50,1,0,Birmingham Phoenix,1,2021,female,Southern Brave,8 wickets,"The Rose Bowl, Southampton",Southern Brave,field,Southern Brave,AE Jones,A Wellington,E Jones,59,1
