Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,AD Hales,RJW Topley,DJ Malan,0,0
2,1,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,AD Hales,RJW Topley,DJ Malan,1,0
3,0,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,DJ Malan,RJW Topley,AD Hales,1,0
4,6,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,DJ Malan,RJW Topley,AD Hales,7,0
5,0,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,DJ Malan,RJW Topley,AD Hales,7,0
6,1,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,DJ Malan,SM Curran,AD Hales,8,0
7,0,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,AD Hales,SM Curran,DJ Malan,8,0
8,1,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,AD Hales,SM Curran,DJ Malan,9,0
9,1,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,DJ Malan,SM Curran,AD Hales,10,0
10,6,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,AD Hales,SM Curran,DJ Malan,16,0
11,0,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,DJ Malan,RJW Topley,AD Hales,16,0
12,2,0,Trent Rockets,1,2022,male,Trent Rockets,25 runs,"Trent Bridge, Nottingham",Oval Invincibles,field,Oval Invincibles,DJ Malan,RJW Topley,AD Hales,18,0
