Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,DJ Willey,MW Short,0,0
2,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,DJ Willey,MW Short,0,0
3,1,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,DJ Willey,MW Short,1,0
4,0,1,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,MW Short,DJ Willey,A Lyth,1,1
5,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,DJ Willey,A Lyth,1,1
6,5,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,MJ Henry,A Lyth,6,1
7,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,MJ Henry,A Lyth,6,1
8,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,MJ Henry,A Lyth,6,1
9,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,MJ Henry,A Lyth,6,1
10,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,MJ Henry,A Lyth,6,1
11,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,MJ Henry,A Lyth,6,1
12,1,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,DJ Willey,T Banton,7,1
13,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,DJ Willey,A Lyth,7,1
14,0,1,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,T Banton,DJ Willey,A Lyth,7,2
15,1,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,DJ Willey,A Lyth,8,2
16,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,DJ Willey,AJ Hose,8,2
17,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,MJ Henry,AJ Hose,8,2
18,1,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,MJ Henry,AJ Hose,9,2
19,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,MJ Henry,A Lyth,9,2
20,1,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,MJ Henry,A Lyth,10,2
21,0,1,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,A Lyth,MJ Henry,AJ Hose,10,3
22,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,DJ Willey,HC Brook,10,3
23,4,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,DJ Willey,HC Brook,14,3
24,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,DJ Willey,HC Brook,14,3
25,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,DJ Willey,HC Brook,14,3
26,4,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,DJ Willey,HC Brook,18,3
27,1,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,AJ Hose,MJ Henry,HC Brook,19,3
28,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,HC Brook,MJ Henry,AJ Hose,19,3
29,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,HC Brook,MJ Henry,AJ Hose,19,3
30,0,0,Northern Superchargers,1,2023,male,Welsh Fire,8 wickets,"Headingley, Leeds",Northern Superchargers,bat,Welsh Fire,HC Brook,MJ Henry,AJ Hose,19,3
