Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,AM Rossington,J Little,Z Crawley,0,0
2,0,1,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,AM Rossington,J Little,Z Crawley,0,1
3,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,J Little,Z Crawley,0,1
4,6,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,J Little,Z Crawley,6,1
5,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,J Little,Z Crawley,10,1
6,2,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,12,1
7,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,12,1
8,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,13,1
9,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,14,1
10,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,15,1
11,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,16,1
12,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,RJ Gleeson,Z Crawley,17,1
13,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,RJ Gleeson,BR McDermott,17,1
14,2,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,RJ Gleeson,BR McDermott,19,1
15,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,RJ Gleeson,BR McDermott,23,1
16,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,RJ Gleeson,BR McDermott,23,1
17,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,27,1
18,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,31,1
19,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,31,1
20,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,31,1
21,2,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,33,1
22,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,J Little,Z Crawley,34,1
23,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,J Little,BR McDermott,34,1
24,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,J Little,BR McDermott,38,1
25,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,J Little,BR McDermott,39,1
26,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,J Little,Z Crawley,43,1
27,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,MW Parkinson,Z Crawley,44,1
28,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,MW Parkinson,BR McDermott,44,1
29,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,MW Parkinson,BR McDermott,48,1
30,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,MW Parkinson,BR McDermott,49,1
31,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,MW Parkinson,Z Crawley,49,1
32,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,RJ Gleeson,BR McDermott,50,1
33,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,RJ Gleeson,Z Crawley,51,1
34,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,RJ Gleeson,BR McDermott,52,1
35,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,RJ Gleeson,Z Crawley,52,1
36,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,RJ Gleeson,Z Crawley,56,1
37,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,57,1
38,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,58,1
39,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,59,1
40,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,60,1
41,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,TW Hartley,BR McDermott,61,1
42,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,Z Crawley,62,1
43,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,PI Walter,Z Crawley,62,1
44,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,PI Walter,Z Crawley,63,1
45,2,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,PI Walter,BR McDermott,65,1
46,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,PI Walter,BR McDermott,69,1
47,0,1,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,Z Crawley,PI Walter,BR McDermott,69,2
48,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,PI Walter,BR McDermott,70,2
49,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,PI Walter,DW Lawrence,74,2
50,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,PI Walter,DW Lawrence,74,2
51,2,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,PI Walter,DW Lawrence,76,2
52,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,PI Walter,DW Lawrence,77,2
53,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,MW Parkinson,DW Lawrence,77,2
54,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,MW Parkinson,DW Lawrence,78,2
55,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,MW Parkinson,BR McDermott,79,2
56,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,MW Parkinson,DW Lawrence,80,2
57,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,MW Parkinson,BR McDermott,81,2
58,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,MW Parkinson,DW Lawrence,82,2
59,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,MW Parkinson,BR McDermott,83,2
60,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,MW Parkinson,DW Lawrence,84,2
61,0,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,MW Parkinson,BR McDermott,84,2
62,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,MW Parkinson,BR McDermott,85,2
63,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,TW Hartley,BR McDermott,86,2
64,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,DW Lawrence,87,2
65,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,TW Hartley,BR McDermott,88,2
66,4,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,DW Lawrence,92,2
67,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,BR McDermott,TW Hartley,DW Lawrence,93,2
68,1,0,London Spirit,1,2022,male,Manchester Originals,5 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Manchester Originals,DW Lawrence,J Little,BR McDermott,94,2
